x,y
0,12.4237451
0.0939125,13.0224599
0.2444567,13.6655245
0.3950009,14.3085891
0.5550819,14.9516539
0.7151628,15.5947186
0.8752438,16.2266962
1.0543983,16.8586741
1.2335528,17.4795648
1.4317808,18.1004558
1.6300089,18.7102597
1.8854575,19.3865877
2.0455385,19.9298677
2.2628401,20.5285846
2.5373622,21.1716514
2.7165167,21.7038445
2.9528918,22.2914746
3.2464875,22.9234545
3.4447156,23.4445607
3.7573848,24.0654537
3.9746864,24.575473
4.2492085,25.1409293
4.5714145,25.7507352
4.8650102,26.2940174
5.1490692,26.8262123
5.3949811,27.3140576
5.7553341,27.9016898
6.0107828,28.3784481
6.2451138,29.0436927
6.4528786,29.4428397
6.7274008,29.8863368
7.1163641,30.4296205
7.3316216,31.0283415
7.55846,31.4053144
7.9092763,31.8820742
8.2791661,32.3477472
8.6395192,32.8134199
9.009409,33.2569184
9.3888356,33.700417
9.7682622,34.1217412
10.2907403,34.6428526
10.5557257,34.9865644
10.9542259,35.3968017
11.352726,35.7959517
11.7607629,36.1951019
12.2450939,36.638602
12.605447,36.9934025
13.0897781,37.4258154
13.4405944,37.7584413
13.858168,38.1465042
14.2948152,38.512393
14.7314624,38.889369
15.1776464,39.2552579
15.681051,39.6544092
16.0509408,39.975948
16.5638821,40.3750995
16.9433087,40.6966383
17.3894927,41.0514398
17.9119708,41.439504
18.3009342,41.7499557
18.7566549,42.09367
19.2123757,42.4373843
19.7348538,42.803274
20.1238171,43.1137255
20.6653688,43.4796154
21.0543321,43.7789796
21.586347,44.1448693
22.0611413,44.4774963
22.5263988,44.799036
23.0584137,45.1538383
23.5332079,45.4753781
23.9412448,45.7636552
24.4160391,46.0741076
24.9671275,46.4178228
25.3751644,46.7060997
25.9262528,47.0498148
26.3247529,47.3270043
26.8758414,47.6596321
27.3506356,47.9700843
27.8254299,48.2805364
28.3097609,48.5909886
28.7273346,48.8681782
29.278423,49.1897185
29.6101658,49.4336452
30.1707909,49.7773599
30.7314161,50.1099873
31.139453,50.3760893
31.709615,50.719804
32.1176519,50.985906
32.678277,51.3185332
33.1626081,51.6178977
33.6469391,51.906175
34.1408069,52.2055395
34.6346747,52.4938168
35.1285425,52.7931813
35.5461162,53.059283
36.039984,53.3475602
36.5338518,53.6469245
37.1040137,53.9684641
37.5311242,54.2234786
38.1012861,54.533931
38.5951539,54.8222079
39.0985585,55.1104848
39.5924263,55.3987616
40.0195367,55.6537759
40.5896987,55.964228
41.1693974,56.2746801
41.586971,56.5296941
42.0903756,56.7957964
42.5937802,57.0729858
43.087648,57.3390878
43.6768834,57.6273654
44.1135306,57.860205
44.6169352,58.126307
45.1298766,58.3813219
45.7095753,58.6695991
46.2129798,58.9357009
46.6400903,59.1685402
47.2293257,59.4457302
47.7422671,59.7007448
48.1789143,59.9224968
48.758613,60.1996865
49.2715543,60.4547009
49.7082015,60.6764529
50.297437,60.9536425
50.8103783,61.1975695
51.2470255,61.4193213
51.836261,61.6965107
52.3492023,61.9404377
52.7858495,62.1621893
53.3846218,62.4282914
53.8975631,62.6722182
54.4105045,62.9161449
54.9329826,63.1600716
55.4459239,63.4039982
55.968402,63.659012
56.4908801,63.9029386
57.0801156,64.1801274
57.5167628,64.3907914
58.0392409,64.6347178
58.5521822,64.8786441
59.0746603,65.1225704
59.5971384,65.3664966
60.1196165,65.5993356
60.7183888,65.8543497
61.1645727,66.0761006
61.6870508,66.3089395
62.1999922,66.5417781
62.7987644,66.796792
63.3212425,67.0185435
63.7674265,67.2292069
64.3757355,67.4731335
64.9077504,67.6948849
65.3539343,67.894461
65.8859492,68.1162123
66.4847214,68.3601385
66.93090541,68.5597145
67.45338352,68.7814655
67.97586162,68.9921293
68.58417063,69.2360554
69.1161855,69.4467191
69.56236947,69.6352077
70.17067847,69.8680464
70.61686244,70.067622
71.22517145,70.3004606
71.74764955,70.5111239
72.27966442,70.7328745
72.80214252,70.9435378
73.33415739,71.1542011
73.8566355,71.3648642
74.3791136,71.5755273
74.91112847,71.7751032
75.44314334,71.9857663
75.97515822,72.1964293
76.50717309,72.4181794
77.02965119,72.6288422
77.56166606,72.8395051
78.09368093,73.0501678
78.5398649,73.2386555
79.15771067,73.4714932
79.52760051,73.6267186
79.97174042,73.8817311
80.50375529,74.0923936
81.02623339,74.303056
81.55824826,74.5137183
82.17609403,74.7465556
82.622278,74.9350429
83.15429287,75.1457051
83.68630774,75.34528
84.21832261,75.5559421
84.75033748,75.7555169
85.36818326,75.9772666
85.82390399,76.1657536
86.432213,76.3875032
86.97376463,76.598165
87.4199486,76.7755646
88.02825761,76.997314
88.48397835,77.1747135
89.09228735,77.3964628
89.54800809,77.5849494
90.15631709,77.8066985
90.68833196,77.9951855
91.1440527,78.183672
91.6665308,78.3721588
92.19854567,78.5717328
92.80685468,78.7934816
93.25303865,78.9708806
93.85181089,79.1926292
