x,y,heading,v,gear,kk
-189.4097237,331.8820742,53.31999969,10,1,0.01598
-188.7898339,332.3477472,54.04000092,10,1,0.01543
-188.1794808,332.8134199,54.77999878,10,1,0.01491
-187.559591,333.2569184,55.43999863,10,1,0.01444
-186.9301644,333.700417,56.11000061,10,1,0.01401
-186.3007378,334.1217412,56.66999817,10,1,0.0136
-185.5282597,334.6428526,57.47000122,10,1,0.0132
-185.0132743,334.9865644,58.08000183,10,1,0.01279
-184.3647741,335.3968017,58.70000076,10,1,0.01234
-183.716274,335.7959517,59.29000092,10,1,0.01186
-183.0582371,336.1951019,59.81000137,10,1,0.01134
-182.3239061,336.638602,60.36000061,10,1,0.0108
-181.713553,336.9934025,60.84999847,10,1,0.01024
-180.9792219,337.4258154,61.33000183,10,1,0.00967
-180.3784056,337.7584413,61.68000031,10,1,0.00912
-179.710832,338.1465042,62.02000046,10,1,0.00858
-179.0241848,338.512393,62.29000092,10,1,0.00808
-178.3375376,338.889369,62.52000046,10,1,0.00761
-177.6413536,339.2552579,62.72999954,10,1,0.00718
-176.887949,339.6544092,62.95999908,10,1,0.0068
-176.2680592,339.975948,63.15000153,10,1,0.00648
-175.5051179,340.3750995,63.38999939,10,1,0.00619
-174.8756913,340.6966383,63.61000061,10,1,0.00595
-174.1795073,341.0514398,63.84999847,10,1,0.00573
-173.4070292,341.439504,64.12999725,10,1,0.00553
-172.7680658,341.7499557,64.33000183,10,1,0.00535
-172.0623451,342.09367,64.55000305,10,1,0.00517
-171.3566243,342.4373843,64.76000214,10,1,0.00501
-170.5841462,342.803274,64.98000336,10,1,0.00486
-169.9451829,343.1137255,65.13999939,10,1,0.00474
-169.1536312,343.4796154,65.33999634,10,1,0.00462
-168.5146679,343.7789796,65.58999634,10,1,0.00452
-167.732653,344.1448693,65.87999725,10,1,0.00442
-167.0078587,344.4774963,66.13999939,10,1,0.00431
-166.2926012,344.799036,66.40000153,10,1,0.00417
-165.5105863,345.1538383,66.61000061,10,1,0.00401
-164.7857921,345.4753781,66.80000305,10,1,0.0038
-164.1277552,345.7636552,66.91000366,10,1,0.00357
-163.4029609,346.0741076,67.01999664,10,1,0.00331
-162.6018725,346.4178228,67.12999725,10,1,0.00305
-161.9438356,346.7060997,67.25,10,1,0.00279
-161.1427472,347.0498148,67.34999847,10,1,0.00255
-160.4942471,347.3270043,67.43000031,10,1,0.00234
-159.6931586,347.6596321,67.52999878,10,1,0.00216
-158.9683644,347.9700843,67.61000061,10,1,0.00202
-158.2435701,348.2805364,67.68000031,10,1,0.00189
-157.5092391,348.5909886,67.73999786,10,1,0.0018
-156.8416654,348.8681782,67.76000214,10,1,0.00173
-156.040577,349.1897185,67.76999664,10,1,0.00169
-155.4588342,349.4336452,67.80000305,10,1,0.00167
-154.6482091,349.7773599,67.83999634,10,1,0.00168
-153.8375839,350.1099873,67.88999939,10,1,0.00171
-153.179547,350.3760893,67.94999695,10,1,0.00176
-152.359385,350.719804,68.04000092,10,1,0.00182
-151.7013481,350.985906,68.12000275,10,1,0.00188
-150.890723,351.3185332,68.19000244,10,1,0.00193
-150.1563919,351.6178977,68.26000214,10,1,0.00197
-149.4220609,351.906175,68.30000305,10,1,0.00199
-148.6781931,352.2055395,68.37999725,10,1,0.002
-147.9343253,352.4938168,68.44999695,10,1,0.002
-147.1904575,352.7931813,68.54000092,10,1,0.00199
-146.5228838,353.059283,68.63999939,10,1,0.00198
-145.779016,353.3475602,68.73999786,10,1,0.00198
-145.0351482,353.6469245,68.87999725,10,1,0.00199
-144.2149863,353.9684641,69.01000214,10,1,0.00203
-143.5378758,354.2234786,69.12000275,10,1,0.00209
-142.7177139,354.533931,69.25,10,1,0.0022
-141.9738461,354.8222079,69.33999634,10,1,0.00234
-141.2204415,355.1104848,69.44999695,10,1,0.00254
-140.4765737,355.3987616,69.56999969,10,1,0.00276
-139.7994633,355.6537759,69.69000244,10,1,0.00299
-138.9793013,355.964228,69.88999939,10,1,0.00322
-138.1496026,356.2746801,70.09999847,10,1,0.00341
-137.482029,356.5296941,70.29000092,10,1,0.00353
-136.7286244,356.7957964,70.48000336,10,1,0.00358
-135.9752198,357.0729858,70.66000366,10,1,0.00355
-135.231352,357.3390878,70.83999634,10,1,0.00344
-134.3921166,357.6273654,70.98999786,10,1,0.00328
-133.7054694,357.860205,71.06999969,10,1,0.00308
-132.9520648,358.126307,71.18000031,10,1,0.00288
-132.1891234,358.3813219,71.29000092,10,1,0.00269
-131.3594247,358.6695991,71.41999817,10,1,0.00252
-130.6060202,358.9357009,71.55999756,10,1,0.00238
-129.9289097,359.1685402,71.66999817,10,1,0.00226
-129.0896743,359.4457302,71.79000092,10,1,0.00215
-128.3267329,359.7007448,71.90000153,10,1,0.00205
-127.6400857,359.9224968,71.97000122,10,1,0.00194
-126.810387,360.1996865,72.02999878,10,1,0.00183
-126.0474457,360.4547009,72.06999969,10,1,0.0017
-125.3607985,360.6764529,72.12000275,10,1,0.00158
-124.521563,360.9536425,72.19000244,10,1,0.00145
-123.7586217,361.1975695,72.27999878,10,1,0.00131
-123.0719745,361.4193213,72.34999847,10,1,0.00117
-122.232739,361.6965107,72.41999817,10,1,0.00103
-121.4697977,361.9404377,72.48000336,10,1,0.00089
-120.7831505,362.1621893,72.48999786,10,1,0.00075
-119.9343782,362.4282914,72.5,10,1,0.00064
-119.1714369,362.6722182,72.48999786,10,1,0.00057
-118.4084955,362.9161449,72.48000336,10,1,0.00054
-117.6360174,363.1600716,72.48000336,10,1,0.00056
-116.8730761,363.4039982,72.48999786,10,1,0.00063
-116.100598,363.659012,72.51000214,10,1,0.00076
-115.3281199,363.9029386,72.55000305,10,1,0.00093
-114.4888844,364.1801274,72.58999634,10,1,0.00113
-113.8022372,364.3907914,72.66999817,10,1,0.00134
-113.0297591,364.6347178,72.76999664,10,1,0.00155
-112.2668178,364.8786441,72.84999847,10,1,0.00175
-111.4943397,365.1225704,72.95999908,10,1,0.00193
-110.7218616,365.3664966,73.05000305,10,1,0.00209
-109.9493835,365.5993356,73.13999939,10,1,0.00222
-109.1006112,365.8543497,73.27999878,10,1,0.00233
-108.4044273,366.0761006,73.41000366,10,1,0.00241
-107.6319492,366.3089395,73.58999634,10,1,0.00247
-106.8690078,366.5417781,73.75,10,1,0.00248
-106.0202356,366.796792,73.90000153,10,1,0.00247
-105.2477575,367.0185435,74.06999969,10,1,0.00241
-104.5515735,367.2292069,74.16999817,10,1,0.00233
-103.6932645,367.4731335,74.26999664,10,1,0.00222
-102.9112496,367.6948849,74.33000183,10,1,0.0021
-102.2150657,367.894461,74.41000366,10,1,0.00198
-101.4330508,368.1162123,74.48000336,10,1,0.00185
-100.5842786,368.3601385,74.55999756,10,1,0.00173
-99.88809459,368.5597145,74.61000061,10,1,0.0016
-99.11561648,368.7814655,74.66999817,10,1,0.00148
-98.34313838,368.9921293,74.70999908,10,1,0.00135
-97.48482937,369.2360554,74.76000214,10,1,0.00123
-96.7028145,369.4467191,74.77999878,10,1,0.00111
-96.00663053,369.6352077,74.77999878,10,1,0.001
-95.14832153,369.8680464,74.76999664,10,1,0.0009
-94.45213756,370.067622,74.77999878,10,1,0.00083
-93.59382855,370.3004606,74.80000305,10,1,0.00077
-92.82135045,370.5111239,74.84999847,10,1,0.00072
-92.03933558,370.7328745,74.87999725,10,1,0.00068
-91.26685748,370.9435378,74.93000031,10,1,0.00063
-90.48484261,371.1542011,74.97000122,10,1,0.00057
-89.7123645,371.3648642,74.98000336,10,1,0.00051
-88.9398864,371.5755273,75,10,1,0.00044
