x,y
0.8204927,41.0514398
1.5929708,41.439504
2.2319342,41.7499557
2.9376549,42.09367
3.6433757,42.4373843
4.4158538,42.803274
5.0548171,43.1137255
5.8463688,43.4796154
6.4853321,43.7789796
7.267347,44.1448693
7.9921413,44.4774963
8.7073988,44.799036
9.4894137,45.1538383
10.2142079,45.4753781
10.8722448,45.7636552
11.5970391,46.0741076
12.3981275,46.4178228
13.0561644,46.7060997
13.8572528,47.0498148
14.5057529,47.3270043
15.3068414,47.6596321
16.0316356,47.9700843
16.7564299,48.2805364
17.4907609,48.5909886
18.1583346,48.8681782
18.959423,49.1897185
19.5411658,49.4336452
20.3517909,49.7773599
21.1624161,50.1099873
21.820453,50.3760893
22.640615,50.719804
23.2986519,50.985906
24.109277,51.3185332
24.8436081,51.6178977
25.5779391,51.906175
26.3218069,52.2055395
27.0656747,52.4938168
27.8095425,52.7931813
28.4771162,53.059283
29.220984,53.3475602
29.9648518,53.6469245
30.7850137,53.9684641
31.4621242,54.2234786
32.2822861,54.533931
33.0261539,54.8222079
33.7795585,55.1104848
34.5234263,55.3987616
35.2005367,55.6537759
36.0206987,55.964228
36.8503974,56.2746801
37.517971,56.5296941
38.2713756,56.7957964
39.0247802,57.0729858
39.768648,57.3390878
40.6078834,57.6273654
41.2945306,57.860205
42.0479352,58.126307
42.8108766,58.3813219
43.6405753,58.6695991
44.3939798,58.9357009
45.0710903,59.1685402
45.9103257,59.4457302
46.6732671,59.7007448
47.3599143,59.9224968
48.189613,60.1996865
48.9525543,60.4547009
49.6392015,60.6764529
50.478437,60.9536425
51.2413783,61.1975695
51.9280255,61.4193213
52.767261,61.6965107
53.5302023,61.9404377
54.2168495,62.1621893
55.0656218,62.4282914
55.8285631,62.6722182
56.5915045,62.9161449
57.3639826,63.1600716
58.1269239,63.4039982
58.899402,63.659012
59.6718801,63.9029386
60.5111156,64.1801274
61.1977628,64.3907914
61.9702409,64.6347178
62.7331822,64.8786441
63.5056603,65.1225704
64.2781384,65.3664966
65.0506165,65.5993356
65.8993888,65.8543497
66.5955727,66.0761006
67.3680508,66.3089395
68.1309922,66.5417781
68.9797644,66.796792
69.7522425,67.0185435
70.4484265,67.2292069
71.3067355,67.4731335
72.0887504,67.6948849
72.7849343,67.894461
73.5669492,68.1162123
74.4157214,68.3601385
75.11190541,68.5597145
75.88438352,68.7814655
76.65686162,68.9921293
77.51517063,69.2360554
78.2971855,69.4467191
78.99336947,69.6352077
79.85167847,69.8680464
80.54786244,70.067622
81.40617145,70.3004606
82.17864955,70.5111239
82.96066442,70.7328745
83.73314252,70.9435378
84.51515739,71.1542011
